line_id,type,name,destination,frequency_peak,frequency_offpeak,operation_days,schedule,accessible
10036,TRONCAL,G45,San Mateo,10 min,12 min,Lunes - Sábado,Desde: 05:00:00 Hasta: 08:00:00,SÍ
10039,TRONCAL,M47,M. Nacional,4 min,4 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
10056,TRONCAL,2,Museo Nacional,5 min,6 min,Lunes - Domingo,Desde: 04:00:00 Hasta: 23:00:00,SÍ
10067,TRONCAL,G47,P. Sur,4 min,4 min,Lunes - Domingo,Desde: 05:00:00 Hasta: 23:00:00,SÍ
10070,TRONCAL,2,P. 20 de julio,---,---,Lunes - Domingo,---,SÍ
10070,TRONCAL,2,P. 20 de julio,5 min,6 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
10073,TRONCAL,C25,Portal Suba,4 min,4 min,Lunes - Domingo,Desde: 05:00:00 Hasta: 22:00:00,SÍ
10074,TRONCAL,L25,P. 20 de Julio,4 min,4 min,Lunes - Domingo,Desde: 05:00:00 Hasta: 22:00:00,SÍ
10075,TRONCAL,B10,Portal Norte,4 min,4 min,Lunes - Domingo,Desde: 05:30:00 Hasta: 21:30:00,SÍ
10076,TRONCAL,D10,Portal 80,4 min,4 min,Lunes - Domingo,Desde: 06:00:00 Hasta: 22:00:00,SÍ
11163,TRONCAL,F23,Américas,2 min,3 min,Lunes - Domingo,Desde: 04:45:00 Hasta: 23:00:00,SÍ
11231,TRONCAL,1,Universidades,6 min,6 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
11381,TRONCAL,H21,Portal Tunal,4 min,4 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
11382,TRONCAL,D21,Portal 80,4 min,4 min,Lunes - Domingo,Desde: 04:00:00 Hasta: 23:08:00,SÍ
11458,TRONCAL,G43,San Mateo,3 min,3 min,Lunes - Domingo,Desde: 05:00:00 Hasta: 23:00:00,SÍ
11627,TRONCAL,7,Polo,4 min,5 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
11712,TRONCAL,J23,Aguas,2 min,3 min,Lunes - Domingo,Desde: 04:00:00 Hasta: 23:00:00,SÍ
11724,TRONCAL,M51,Museo Nacional,4 min,4 min,Lunes - Sábado,Desde: 04:30:00 Hasta: 23:00:00,SÍ
11725,TRONCAL,F51,P. Américas,4 min,4 min,Lunes - Sábado,Desde: 05:00:00 Hasta: 23:00:00,SÍ
11747,TRONCAL,4,Héroes,6 min,6 min,Lunes - Domingo,Desde: 04:00:00 Hasta: 23:05:00,SÍ
11851,TRONCAL,1,P. Eldorado,---,---,Lunes - Domingo,---,SÍ
11851,TRONCAL,1,P. Eldorado,6 min,6 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:00:00,SÍ
11853,TRONCAL,4,Portal Sur,6 min,6 min,Lunes - Domingo,Desde: 04:30:00 Hasta: 23:30:00,SÍ
